trust_ppl_99,proud_99,geograph_01_99,geograph_02_99,sex_99,year_of_birth_99,education_99,school_99,allow_work_99,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_mentally_ill,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies,avoid_dont_care
can't be too careful,quite proud,own town,local region,female,68,buisness or banking,13,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,the whole world,own town,female,20,NA,14,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,the whole world,own country,female,52,master from university,15,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,Europe,male,26,master from university,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,68,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,25,NA,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,dont know,dont know,female,36,short buisness or computer science,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,female,40,other,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,31,buisness or banking,15,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,local region,own country,female,49,skilled education,15,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,47,skilled education,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,60,military education,13,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,local region,own country,male,23,NA,15,allow as long as there is jobs for Danes,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,29,social- and health - 1 year,14,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,male,35,FE technical,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,very proud,own town,own country,male,46,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,59,NA,2,limmit amount of foreigners in the country,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own town,own country,male,28,NA,6,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,39,social- and health - 3-4 years,15,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,own country,own town,female,70,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,own country,female,24,short buisness or computer science,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,female,75,skilled education,13,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,quite proud,own town,own country,female,49,skilled education,3,limmit amount of foreigners in the country,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own town,local region,male,57,skilled education,2,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,54,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,47,master from university,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,52,other,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,43,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,67,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,55,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,Europe,own country,female,33,other,14,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,42,NA,6,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,18,NA,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,68,NA,2,limmit amount of foreigners in the country,not checked,checked,not checked,not checked,checked,not checked,checked,checked,not checked,checked,not checked,checked,not checked,not checked,not checked
undetermined,very proud,own town,own country,male,20,NA,6,everybody allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,dont know,dont know,male,19,NA,14,dont know,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,65,other,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,Europe,male,20,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,64,technical - 2-3 years,3,limmit amount of foreigners in the country,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,checked,not checked
can't be too careful,very proud,own country,own town,male,55,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,18,other,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,42,technical - 2-3 years,13,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,41,NA,7,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,checked,checked,not checked
can't be too careful,quite proud,own town,local region,female,47,social- and health - 3-4 years,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,82,NA,2,forbid foreigners to enter the country,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,local region,own town,male,33,FE technical,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,37,social- and health - 3-4 years,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,Europe,male,50,NA,2,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
most can be trusted,quite proud,own town,own country,male,53,other,2,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,58,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,male,61,military education,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,47,social- and health - 1 year,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,female,55,buisness or banking,15,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,32,NA,4,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,46,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,male,44,education - 3-4 years,6,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,69,education - 3-4 years,12,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,dont know,male,47,FE technical,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,52,NA,4,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,female,73,skilled education,3,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,34,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,19,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,63,NA,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,male,25,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,58,short buisness or computer science,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,own country,male,39,social- and health - 1 year,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own town,male,42,skilled education,15,limmit amount of foreigners in the country,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,own country,female,27,NA,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,local region,own country,male,27,NA,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked
most can be trusted,very proud,own town,local region,female,41,buisness or banking,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,30,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,male,20,NA,5,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,40,skilled education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,local region,own country,male,25,education - 3-4 years,15,dont know,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,own country,own town,male,38,other,3,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,45,NA,2,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,not checked,not checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,local region,own town,female,30,NA,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,57,FE technical,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,27,social- and health - 3-4 years,15,allow as long as there is jobs for Danes,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,the whole world,female,53,education - 3-4 years,14,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,42,short buisness or computer science,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own country,own town,female,23,NA,14,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,not very proud,own country,Europe,female,55,other,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own country,female,35,NA,4,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,40,skilled education,5,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,the whole world,male,46,education - 3-4 years,14,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,46,skilled education,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,44,skilled education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,33,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,27,FE technical,16,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own town,female,49,skilled education,10,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,local region,own town,female,34,education - 3-4 years,14,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,dont know,dont know,male,31,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,Europe,female,26,education - 3-4 years,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,the whole world,own country,male,55,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,66,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,32,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Europe,local region,male,33,master from university,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,own country,male,30,short buisness or computer science,6,limmit amount of foreigners in the country,checked,checked,checked,checked,not checked,checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,male,68,FE technical,13,forbid foreigners to enter the country,checked,checked,not checked,checked,not checked,checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own country,own town,female,19,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,male,18,NA,15,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,male,43,NA,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,53,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,not at all proud,the whole world,Europe,male,24,NA,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,53,skilled education,2,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,very proud,own town,local region,female,32,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,81,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,Europe,own country,male,24,skilled education,3,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own country,own town,female,25,social- and health - 3-4 years,14,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,42,social- and health - 3-4 years,4,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,Europe,male,69,skilled education,2,forbid foreigners to enter the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,31,skilled education,6,limmit amount of foreigners in the country,checked,not checked,checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,46,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,23,NA,15,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,the whole world,own country,male,49,special-worker-course,7,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,43,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,30,skilled education,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,73,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
undetermined,very proud,own town,local region,male,54,skilled education,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,39,short buisness or computer science,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,male,70,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,male,55,skilled education,2,limmit amount of foreigners in the country,checked,checked,checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,local region,own town,male,40,FE technical,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,own town,own country,female,70,social- and health - 1 year,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,55,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,37,education - 3-4 years,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,43,buisness or banking,14,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,female,74,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,not checked
most can be trusted,quite proud,own town,own country,female,67,social- and health - 1 year,3,dont know,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,Europe,female,23,social- and health - 3-4 years,6,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,41,NA,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,male,25,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,63,education - 3-4 years,13,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,local region,own town,female,31,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,male,56,education - 3-4 years,3,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,female,41,skilled education,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,63,skilled education,3,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
