trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,not very proud,C1,NA,NA,female (housewife),60,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C1,own town,own country,male,63,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,own country,Europe,male,57,semi-skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,NA,NA,male,58,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,female (working),57,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own town,NA,male,61,unskilled manual,16,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,the whole world,own country,male,61,jun. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,DE,own country,own town,male,57,unskilled manual,16,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own country,Europe,male,60,NA,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,the whole world,local region,male,60,semi-skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C1,own town,own country,male,60,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own town,own country,female (housewife),59,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,own country,own town,female (working),60,semi-skilled manual,17,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,DE,own town,local region,female (housewife),58,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own town,own country,male,56,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,C2,own country,Europe,male,57,skilled manual,18,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,not checked,not checked
most can be trusted,not very proud,C2,Europe,own town,male,57,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
undetermined,quite proud,C1,own town,local region,female (working),61,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,C1,own town,local region,female (housewife),58,jun. lvl. non-manual,16,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,AB,the whole world,local region,female (working),63,jun. lvl. non-manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (working),60,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own town,local region,male,62,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,the whole world,Europe,female (working),57,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,local region,male,62,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,own town,own country,male,57,skilled manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,the whole world,male,61,armed forces,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
