trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,very proud,own town,own country,female,27,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,27,wife,NA,2nd real,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,checked,checked,not checked
can't be too careful,quite proud,local region,own country,female,27,functionary with education,social- and health - 1 year,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,27,non-skilled,NA,7th grade or less,not allowed,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,27,non-skilled,NA,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,27,non-skilled,other,student or HF,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,28,small buisnessowner,NA,middleschool examn,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,28,NA,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,28,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,28,functionary with education,skilled education,7th grade or less,not allowed,checked,checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,checked,checked,not checked
can't be too careful,very proud,own town,own country,female,28,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,28,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,28,functionary with education,skilled education,middleschool examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,own country,local region,female,28,functionary with education,skilled education,8th grade,not allowed,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,local region,own country,female,28,functionary with education,master from university,student or HF,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
